job1,3,156,39,37,0,37,0,0,0,0,0,0,0,0,44.3,12,7.9,0.73
job2,2,130,35,35,0,35,0,0,0,0,0,0,0,0,53.7,14,10.4,0.78
job3,2,201,68,72,0,72,0,0,0,0,0,0,0,0,66.6,28,13.5,0.65
job4,3,179,43,52,0,52,0,0,0,0,0,0,0,0,51.3,13,9.3,0.67
job5,2,92,56,51,0,51,0,0,0,0,0,0,0,0,22.1,19,9.9,0.46
job6,4,194,48,47,0,47,0,0,0,0,0,0,0,0,42.1,11,8.0,0.76
job7,3,184,47,44,0,44,0,0,0,0,0,0,0,0,53.8,14,10.6,0.81
job8,4,131,73,73,0,73,0,0,0,0,0,0,0,0,21.8,19,9.7,0.48
job9,2,113,70,70,0,70,0,0,0,0,0,0,0,0,34.1,28,18.0,0.32
job10,4,232,54,52,0,52,0,0,0,0,0,0,0,0,51.7,13,9.5,0.84
job11,4,322,80,79,0,79,0,0,0,0,0,0,0,0,75.2,19,16.5,0.79
job12,9,406,86,87,0,87,0,0,0,0,0,0,0,0,42.4,12,7.9,0.85
job13,6,449,121,128,0,128,0,0,0,0,0,0,0,0,64.1,29,13.4,0.71
job14,4,392,170,168,0,168,0,0,0,0,0,0,0,0,68.8,53,22.2,0.58
job15,8,221,114,247,129,76,43,6,1,2,12,22,5,34,21.6,20,9.9,0.58
job16,7,852,205,205,0,205,0,0,0,0,0,0,0,0,118.9,30,27.3,0.78
job17,26,1112,215,223,0,223,0,0,0,0,0,0,0,0,41.9,12,7.7,0.82
job18,10,805,298,796,543,184,71,20,1,5,5,50,9,108,69.6,59,21.7,0.62
job19,22,1216,221,223,0,223,0,0,0,0,0,0,0,0,54.1,13,9.3,0.85
job20,22,532,229,544,434,72,41,7,1,2,11,23,5,33,22.0,20,8.9,0.44
job21,24,1814,405,401,0,401,0,0,0,0,0,0,0,0,74.7,19,16.3,0.78
job22,18,2032,533,1010,374,484,156,14,2,6,7,55,8,148,106.4,56,25.1,0.75
job23,34,2263,435,442,0,442,0,0,0,0,0,0,0,0,65.8,16,12.3,0.82
job24,10,976,568,1118,640,310,170,14,1,10,7,131,21,187,72.9,125,39.4,0.39
job25,45,1024,471,477,0,477,0,0,0,0,0,0,0,0,21.7,20,9.7,0.57
job26,55,3693,696,692,0,692,0,0,0,0,0,0,0,0,66.7,16,12.4,0.82
job27,44,1495,758,775,0,775,0,0,0,0,0,0,0,0,32.9,27,16.4,0.47
job28,23,2259,786,833,0,833,0,0,0,0,0,0,0,0,90.4,89,28.7,0.65
job29,20,3226,829,852,0,852,0,0,0,0,0,0,0,0,150.9,99,35.0,0.75
job30,32,2354,816,776,0,776,0,0,0,0,0,0,0,0,69.5,55,22.8,0.68
job31,35,4192,961,968,0,968,0,0,0,0,0,0,0,0,119.1,30,27.0,0.78
job32,29,3491,1189,1227,0,1227,0,0,0,0,0,0,0,0,112.0,112,35.5,0.64
job33,25,2005,1166,2102,1678,290,136,4,1,10,7,101,16,166,72.0,124,39.9,0.42
job34,25,4041,1122,2016,842,983,199,68,4,2,11,28,6,175,159.0,54,43.3,0.74
job35,106,2341,1010,2409,2228,98,87,17,2,2,11,20,8,33,21.7,19,9.2,0.56
job36,39,5915,1292,1312,0,1312,0,0,0,0,0,0,0,0,151.1,36,32.7,0.78
job37,32,5105,1320,1473,0,1473,0,0,0,0,0,0,0,0,155.5,78,38.7,0.72
job38,42,2497,1418,2566,2346,167,55,1,1,2,21,27,4,78,58.3,42,32.9,0.47
job39,32,3250,1357,3177,2873,221,85,21,1,5,7,61,10,138,98.1,73,39.7,0.6
job40,78,5811,1282,1857,628,1173,61,39,2,9,8,5,6,78,74.2,19,16.2,0.79
job41,34,8878,2682,5564,2892,2390,294,640,6,2,13,27,4,335,259.2,95,77.4,0.72
job42,38,4851,2884,4852,4257,446,151,13,1,11,6,113,20,225,122.0,156,71.5,0.35
job43,39,6437,2689,6784,5542,611,639,188,4,42,6,91,17,250,159.6,144,65.2,0.6
job44,26,5512,2904,3685,1073,2397,219,57,2,8,8,78,13,269,204.9,161,106.8,0.41
job45,48,5112,3000,4890,3819,997,78,45,2,2,10,22,3,124,105.4,72,61.8,0.39
job46,39,17589,10815,13435,4610,8527,302,299,2,10,6,106,26,564,443.9,377,272.6,0.42
job47,65,29284,17035,20019,5640,14137,246,271,2,10,6,92,13,536,447.2,335,259.7,0.46
job48,67,36633,11044,11770,1723,9753,297,135,2,6,69,61,10,588,544.5,189,163.5,0.73
job49,72,16633,10410,15145,9903,4941,306,254,2,10,6,95,38,325,227.8,234,141.9,0.37
job50,65,17060,10289,12883,4992,7724,172,268,2,13,5,56,9,309,260.5,196,157.0,0.4
