index, timestamp, power.draw [W], memory.used [MiB], utilization.memory [%], utilization.gpu [%], temperature.gpu
0, 2020/03/19 15:55:18.664, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:18.767, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:18.869, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:18.971, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.073, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.174, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.277, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.378, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.480, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.582, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.684, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.786, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.888, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:19.990, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.092, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.194, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.296, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.398, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.500, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.602, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.704, 45.87, 0, 0, 0, 40
0, 2020/03/19 15:55:20.806, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:20.908, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.010, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.112, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.214, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.316, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.418, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.520, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.622, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.724, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.826, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:21.928, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.030, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.134, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.235, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.337, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.439, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.541, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.643, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.745, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.846, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:22.948, 45.87, 0, 0, 0, 40
0, 2020/03/19 15:55:23.050, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.152, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.255, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.357, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.459, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.561, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.662, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.765, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.866, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:23.969, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.071, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.173, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.275, 45.87, 0, 0, 0, 40
0, 2020/03/19 15:55:24.377, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.479, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.581, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.682, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.784, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.886, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:24.988, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.090, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.191, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.293, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.395, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.497, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.599, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.701, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.803, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:25.905, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:26.007, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:26.109, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:26.210, 45.90, 0, 0, 0, 40
0, 2020/03/19 15:55:26.312, 45.90, 0, 0, 0, 40
